Name,type,person name,designation
Middlesex,County,Ronald G. Rios,Freeholder Director
Middlesex,County,Charles E. Tomaro,Freeholder Deputy Director
Middlesex,County,Kenneth Armwood,Freeholder
Middlesex,County,Charles Kenny,Freeholder
Middlesex,County,Leslie Koppel,Freeholder
Middlesex,County,Shanti Narra,Freeholder
Middlesex,County,Blanquita B. Valenti,Freeholder
Middlesex,County,Mildred Scott,Middlesex County Sheriff
Middlesex,County,Elaine M. Flynn,Middlesex County Clerk
Middlesex,County,Kevin J. Hoagland,Middlesex County Surrogate
